,,0,1,,,,,,,,,,
55,3,3624,2617,,,,6241,,,,,,
58,6,5165,4460,,,,9625,,,,,,
1,9,6169,5760,,,,11929,,,,,,
4,12,7568,8208,,,,15776,,,,,,
7,15,8188,8984,,,,17172,,,,,,
11,18,9732,9823,,,,19555,,,,,,
14,21,10450,12354,,,,22804,,,,,,
17,24,11234,15983,,,,27217,,,,,,
20,27,12608,16894,,,,29502,14751,,,,,
,,,,,,,,,,,2,3,5
,,0,1,2,,,,,,3,6241,9820,19943
46,3,2015,3950,3855,,,9820,,,6,9625,14748,35978
49,6,3147,6013,5588,,,14748,,,9,11929,19067,45655
52,9,4265,7044,7758,,,19067,,,12,15776,22739,49164
55,12,6075,8203,8461,,,22739,,,15,17172,25892,54184
58,15,7307,9066,9519,,,25892,,,18,19555,28732,59927
61,18,8136,9796,10800,,,28732,,,21,22804,33583,66680
64,21,11205,10353,12025,,,33583,,,24,27217,35819,71388
67,24,12320,10890,12609,,,35819,,,27,29502,37791,81300
70,27,13013,11518,13260,,,37791,12597,,,,,
,,,,,,,,,,,,,
,,0,1,2,3,4,,,,,,,
38,3,4877,4667,6205,4192,2,19943,,,,,,
41,6,8031,7054,11215,5728,3950,35978,,,,,,
44,9,9265,10424,14735,6238,4993,45655,,,,,,
47,12,10777,11421,14684,6784,5498,49164,,,,,,
50,15,10818,12457,16846,7622,6441,54184,,,,,,
53,18,11688,13456,18432,8797,7554,59927,,,,,,
56,21,12443,15784,20135,9298,9020,66680,,,,,,
59,24,12925,16874,21333,9853,10403,71388,,,,,,
62,27,13686,18651,23562,10618,14783,81300,,,,,,
65,30,14399,19843,24653,11060,17613,87568,,,,,,
,,,,,,,,,,,,,
10,13013,11518,13260,,,,,,,,,,
20,17435,21345,19930,,,,,,,,,,
30,29177,35128,37799,,,,,,,,,,
50,36244,55782,38535,,,,,,,,,,
